slug	name	class	featureCount	economyCount	tableActionCount	resourceCount	preparedSpells	extractAe	expectedAeSlots	gapNotes
carver-guild	Guilda do Escultor	monster-hunter	6	4	4	0	0	4	4	MH pilot (C063 curated); 4 features EN leftover; prose-only passives: ac,resistance,proficiency
devourer-guild	Guilda do Devorador	monster-hunter	6	5	5	1	0	4	5	MH pilot (C063 curated); 2 AE feat(s) missing economy; 3 features EN leftover; prose-only passives: ac,hp,proficiency
occultist-guild	Guilda do Ocultista	monster-hunter	7	1	1	0	1	1	1	MH pilot (C063 curated); 5 features EN leftover; prose-only passives: ac,proficiency
trapper-guild	Guilda do Armadilheiro	monster-hunter	6	8	8	3	0	3	6	MH pilot (C063 curated); 4 features EN leftover; prose-only passives: ac,hp,resistance,sense,proficiency
pathofthe-fractured	Caminho do Fraturado	barbarian	5	2	2	0	0	1	2	4 features EN leftover; prose-only passives: hp,resistance,proficiency
pathofthe-primal-spirit	Caminho do Espírito Primal	barbarian	5	6	6	0	2	3	6	resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: hp,resistance
pathofthe-wrathful-dead	Caminho dos Mortos Irados	barbarian	5	8	8	0	3	5	8	5 features EN leftover; prose-only passives: ac,speed
collegeof-adventurers	Colégio dos Aventureiros	bard	4	2	2	0	0	1	2	1 features EN leftover; prose-only passives: proficiency
collegeof-fools	Colégio dos Tolos	bard	4	5	5	0	2	4	5	resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: hp,resistance
collegeof-requiems	Colégio dos Réquiens	bard	4	1	1	0	1	1	1	resource implied, no seed resource; economy rows lack resource_slug; 3 features EN leftover; prose-only passives: hp
eldritch-domain	Domínio Eldritch	cleric	5	2	2	0	10	2	2	resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: resistance
inquisition-domain	Domínio da Inquisição	cleric	5	2	2	0	8	2	4	AE slots 4 > economy 2 (gap 2); resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: hp,resistance
purification-domain	Domínio da Purificação	cleric	5	1	1	0	8	1	1	resource implied, no seed resource; economy rows lack resource_slug; 2 features EN leftover; prose-only passives: resistance
circleof-blood	Círculo do Sangue	druid	5	3	3	0	9	2	3	resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: ac,hp,resistance,speed
circleof-entropy	Círculo da Entropia	druid	5	5	5	0	0	4	5	resource implied, no seed resource; economy rows lack resource_slug; 5 features EN leftover; prose-only passives: ac,resistance
